CustomerKey,GeographyKey,BusinessType,Customer,NumberEmployees,AnnualRevenue,YearOpened
1,637,Supplement Store,Supplements Aid,2,30000,1974
2,635,Gym,Guardian Gym,10,80000,1976
3,584,Warehouse,Storeify,40,150000,1978
4,572,Supplement Store,Monster Zeus,5,30000,1980
5,322,Gym,Hard Exercise Works,13,80000,1982
6,303,Warehouse,Ajax Sports,43,150000,1984
7,599,Supplement Store,Monster Guide,8,30000,1986
8,409,Gym,Harmony Mind Body Fitness Inc.,16,80000,1988
9,568,Warehouse,Sportsque,46,150000,1990
10,44,Supplement Store,Monsteroryx,11,80000,1992
11,96,Gym,In-Shape Health Clubs,19,80000,1994
12,96,Warehouse,Defender Warehouse,49,150000,1996
13,211,Supplement Store,Monster Intense,14,80000,1998
14,167,Gym,Temple Builders Fitness,22,100000,2000
15,6,Warehouse,Potential Store,52,300000,2002
16,247,Supplement Store,Monster Thrive,17,80000,2004
17,605,Gym,Temple Training,25,100000,2005
18,474,Warehouse,Guide Store,55,300000,2003
19,610,Supplement Store,Nutrition Genic,20,100000,2004
20,622,Gym,The Edge Rock Gym,28,100000,1975
21,584,Warehouse,Bounce Store,58,300000,2003
22,561,Supplement Store,Monster Maximus,19,80000,1979
23,364,Gym,Guardian Gym,31,150000,2002
24,376,Warehouse,Overload Department,61,300000,1983
25,317,Supplement Store,Nutrition Axe,18,80000,2001
26,409,Gym,DevMuscles,34,150000,1987
27,568,Warehouse,Wisdom Sports,64,300000,2000
28,95,Supplement Store,Supplements Vigor,17,80000,1991
29,77,Gym,Fit and Lift Gym Center,37,150000,1999
30,110,Warehouse,Ajax Department,67,300000,1995
31,201,Supplement Store,Supplements Crunch,16,80000,1998
32,177,Gym,The Fitness Pack,40,150000,1999
33,6,Warehouse,Detox Warehouse,70,300000,1997
34,272,Supplement Store,Supplementsara,15,80000,2003
35,555,Gym,Dynamo Fitness,43,150000,1996
36,447,Warehouse,Grow Department,73,300000,2002
37,633,Supplement Store,Supplements Young,14,80000,1995
38,491,Gym,Alpha Muscle Center,46,150000,2001
39,477,Warehouse,Support Sports,76,300000,1994
40,587,Supplement Store,Supplements Advanced,13,80000,2000
41,340,Gym,Premium Fitness,49,150000,1993
42,345,Warehouse,Sportsman Store,79,300000,1999
43,599,Supplement Store,Nutrittastic,12,80000,1992
44,282,Gym,The Workout Zone,48,150000,1998
45,565,Warehouse,Warehouseverse,80,300000,1991
46,41,Supplement Store,Nutrition Drill,11,80000,1997
47,95,Gym,Platinum Fitness,47,150000,1990
48,106,Warehouse,Progress Warehouse,81,300000,1996
49,188,Supplement Store,Nutrition Aphrodite,10,80000,1989
50,114,Gym,The Sweat Arena,46,150000,1995
51,28,Warehouse,Juggernaut Store,82,300000,1988
52,239,Supplement Store,Nutrition Better,9,30000,1994
53,454,Gym,Muscle Magic,45,150000,1987
