SalesDetailsKey,SalesHeaderKey,SalesOrderNumber,ProductKey,ProductSubcategoryKey,OrderQuantity,UnitPrice,ExtendedAmount
1,2194,SO43659,220,18,4,20.1865,80.746
2,2194,SO43659,223,10,2,5.1865,10.373
3,2194,SO43659,346,17,2,2039.994,4079.988
4,2194,SO43659,349,17,1,2024.994,2024.994
5,2194,SO43659,350,17,3,2024.994,6074.982
6,2194,SO43659,347,17,1,2039.994,2039.994
7,2194,SO43659,229,7,3,28.8404,86.5212
8,2194,SO43659,235,7,1,28.8404,28.8404
9,2194,SO43659,218,9,6,5.7,34.2
10,2194,SO43659,345,17,1,2039.994,2039.994
11,2194,SO43659,351,17,1,2024.994,2024.994
12,2194,SO43659,344,17,1,2039.994,2039.994
13,2312,SO43660,326,13,1,419.4589,419.4589
14,2312,SO43660,319,17,1,874.794,874.794
15,1002,SO43661,215,18,5,20.1865,100.9325
16,1002,SO43661,232,7,4,28.8404,115.3616
17,1002,SO43661,300,12,1,809.76,809.76
18,1002,SO43661,296,12,1,714.7043,714.7043
19,1002,SO43661,220,18,2,20.1865,40.373
20,1002,SO43661,235,7,2,28.8404,57.6808
21,1002,SO43661,292,12,2,818.7,1637.4
22,1002,SO43661,304,12,2,714.7043,1429.4086
23,1002,SO43661,293,12,2,722.5949,1445.1898
24,1002,SO43661,346,17,2,2039.994,4079.988
25,1002,SO43661,350,17,2,2024.994,4049.988
26,1002,SO43661,351,17,2,2024.994,4049.988
27,1002,SO43661,348,17,3,2024.994,6074.982
28,1002,SO43661,223,10,4,5.1865,20.746
29,1002,SO43661,349,17,4,2024.994,8099.976
30,1107,SO43662,330,13,3,419.4589,1258.3767
31,1107,SO43662,317,17,1,874.794,874.794
32,1107,SO43662,314,17,1,2146.962,2146.962
33,1107,SO43662,310,17,1,2146.962,2146.962
34,1107,SO43662,275,3,1,356.898,356.898
35,1107,SO43662,276,3,1,356.898,356.898
36,1107,SO43662,285,4,1,178.5808,178.5808
37,1107,SO43662,264,3,1,183.9382,183.9382
38,1107,SO43662,270,3,1,183.9382,183.9382
39,1107,SO43662,272,3,2,183.9382,367.8764
40,1107,SO43662,338,15,2,419.4589,838.9178
41,1107,SO43662,316,17,1,874.794,874.794
42,1107,SO43662,332,15,3,419.4589,1258.3767
43,1107,SO43662,328,15,3,419.4589,1258.3767
44,1107,SO43662,322,13,3,419.4589,1258.3767
45,1107,SO43662,334,15,3,419.4589,1258.3767
46,1107,SO43662,253,3,3,178.5808,535.7424
47,1107,SO43662,262,3,3,183.9382,551.8146
48,1107,SO43662,315,17,4,874.794,3499.176
49,1107,SO43662,342,17,5,419.4589,2097.2945
50,1107,SO43662,326,13,5,419.4589,2097.2945
51,1107,SO43662,319,17,6,874.794,5248.764
52,643,SO43663,322,13,1,419.4589,419.4589
53,1770,SO43664,350,17,2,2024.994,4049.988
54,1770,SO43664,345,17,1,2039.994,2039.994
55,1770,SO43664,346,17,1,2039.994,2039.994
56,1770,SO43664,351,17,1,2024.994,2024.994
57,1770,SO43664,229,7,1,28.8404,28.8404
58,1770,SO43664,235,7,1,28.8404,28.8404
59,1770,SO43664,344,17,3,2039.994,6119.982
60,1770,SO43664,348,17,4,2024.994,8099.976
61,1666,SO43665,348,17,2,2024.994,4049.988
62,1666,SO43665,351,17,1,2024.994,2024.994
63,1666,SO43665,349,17,1,2024.994,2024.994
64,1666,SO43665,212,18,1,20.1865,20.1865
65,1666,SO43665,223,10,2,5.1865,10.373
66,1666,SO43665,220,18,2,20.1865,40.373
67,1666,SO43665,232,7,2,28.8404,57.6808
68,1666,SO43665,350,17,2,2024.994,4049.988
69,1666,SO43665,346,17,1,2039.994,2039.994
70,1666,SO43665,218,9,6,5.7,34.2
71,597,SO43666,338,15,2,419.4589,838.9178
72,597,SO43666,330,13,1,419.4589,419.4589
73,597,SO43666,334,15,1,419.4589,419.4589
74,597,SO43666,317,17,1,874.794,874.794
75,597,SO43666,314,17,1,2146.962,2146.962
76,597,SO43666,275,3,1,356.898,356.898
77,2663,SO43667,219,9,3,5.7,17.1
78,2663,SO43667,346,17,1,2039.994,2039.994
79,2663,SO43667,351,17,1,2024.994,2024.994
80,2663,SO43667,348,17,1,2024.994,2024.994
81,1077,SO43668,223,10,4,5.1865,20.746
82,1077,SO43668,275,3,4,356.898,1427.592
83,1077,SO43668,229,7,4,28.8404,115.3616
84,1077,SO43668,326,13,4,419.4589,1677.8356
85,1077,SO43668,272,3,6,183.9382,1103.6292
86,1077,SO43668,232,7,6,28.8404,173.0424
87,1077,SO43668,332,15,6,419.4589,2516.7534
88,1077,SO43668,319,17,6,874.794,5248.764
89,1077,SO43668,322,13,7,419.4589,2936.2123
90,1077,SO43668,315,17,2,874.794,1749.588
91,1077,SO43668,215,18,1,20.1865,20.1865
92,1077,SO43668,235,7,1,28.8404,28.8404
93,1077,SO43668,212,18,2,20.1865,40.373
94,1077,SO43668,220,18,2,20.1865,40.373
95,1077,SO43668,270,3,2,183.9382,367.8764
96,1077,SO43668,262,3,2,183.9382,367.8764
97,1077,SO43668,314,17,2,2146.962,4293.924
98,1077,SO43668,330,13,2,419.4589,838.9178
99,1077,SO43668,334,15,2,419.4589,838.9178
100,1077,SO43668,338,15,2,419.4589,838.9178
101,1077,SO43668,342,17,2,419.4589,838.9178
102,1077,SO43668,317,17,3,874.794,2624.382
103,1077,SO43668,316,17,3,874.794,2624.382
104,1077,SO43668,324,13,3,419.4589,1258.3767
105,1077,SO43668,328,15,3,419.4589,1258.3767
106,1077,SO43668,285,4,3,178.5808,535.7424
107,1077,SO43668,253,3,3,178.5808,535.7424
108,1077,SO43668,276,3,3,356.898,1070.694
109,1077,SO43668,264,3,3,183.9382,551.8146
110,1960,SO43669,304,12,1,714.7043,714.7043
111,2583,SO43670,349,17,1,2024.994,2024.994
112,2583,SO43670,219,9,1,5.7,5.7
113,2583,SO43670,218,9,2,5.7,11.4
114,2583,SO43670,346,17,2,2039.994,4079.988
115,1727,SO43671,316,17,2,874.794,1749.588
116,1727,SO43671,317,17,1,874.794,874.794
117,1727,SO43671,314,17,1,2146.962,2146.962
118,1727,SO43671,220,18,1,20.1865,20.1865
119,1727,SO43671,215,18,1,20.1865,20.1865
120,1727,SO43671,235,7,1,28.8404,28.8404
121,1727,SO43671,229,7,2,28.8404,57.6808
122,1727,SO43671,275,3,2,356.898,713.796
123,1727,SO43671,338,15,2,419.4589,838.9178
124,1727,SO43671,330,13,2,419.4589,838.9178
125,1727,SO43671,328,15,2,419.4589,838.9178
126,823,SO43672,349,17,2,2024.994,4049.988
127,823,SO43672,347,17,1,2039.994,2039.994
128,823,SO43672,218,9,6,5.7,34.2
129,2926,SO43673,223,10,1,5.1865,5.1865
130,2926,SO43673,220,18,1,20.1865,20.1865
131,2926,SO43673,215,18,2,20.1865,40.373
