SalesDetails,SalesOrderNumber,OrderDate,DueDate,ShipDate,CustomerKey,RegionKey,DiscountAmount,TotalAmount,SalesAmount,EmployeeKey
1,SO46648,2023-12-29,2024-01-10,2024-05-01,184,4,1784.08,57248.21,55464.13,104
2,SO45554,2023-08-29,2023-09-10,2023-05-09,187,4,427.42,25517.42,25090.0,104
3,SO44551,2023-05-01,2023-05-13,2023-08-05,385,4,364.48,41097.6,40733.12,125
4,SO45568,2023-08-29,2023-09-10,2023-05-09,3,4,356.46,15251.82,14895.36,124
5,SO53459,2025-02-28,2025-03-12,2025-07-03,582,4,1120.08,30487.97,29367.89,124
6,SO53607,2025-02-28,2025-03-12,2025-07-03,5,4,409.62,15369.76,14960.15,124
7,SO53589,2025-02-28,2025-03-12,2025-07-03,25,4,31.56,1101.28,1069.72,104
8,SO47687,2024-03-30,2024-04-11,2024-06-04,203,4,1281.1,47238.65,45957.55,127
9,SO57035,2025-04-30,2025-05-12,2025-07-05,77,4,106.16,2936.9,2830.74,104
10,SO71857,2025-11-29,2025-12-11,2025-06-12,624,4,862.24,28139.25,27277.01,127
11,SO48027,2024-04-30,2024-05-12,2024-07-05,492,4,10.18,314.46,304.28,126
12,SO45290,2023-08-01,2023-08-13,2023-08-08,384,4,1017.7,33469.9,32452.2,104
13,SO46377,2023-11-29,2023-12-11,2023-06-12,3,4,389.82,9853.78,9463.96,104
14,SO50747,2024-11-28,2024-12-10,2024-05-12,75,4,1241.56,36204.2,34962.64,104
15,SO67305,2025-09-29,2025-10-11,2025-06-10,599,4,3676.24,116730.56,113054.32,124
16,SO57142,2025-04-30,2025-05-12,2025-07-05,313,4,15.58,905.88,890.3,124
17,SO50738,2024-11-28,2024-12-10,2024-05-12,130,4,1050.18,43698.98,42648.8,127
18,SO71848,2025-11-29,2025-12-11,2025-06-12,59,4,305.66,12563.68,12258.02,127
19,SO51154,2024-12-28,2025-01-09,2025-04-01,221,4,2022.54,54531.63,52521.09,104
20,SO46965,2024-01-29,2024-02-10,2024-05-02,77,4,200.14,8594.25,8394.11,127
21,SO59011,2025-05-30,2025-06-11,2025-06-06,3,4,654.34,33872.56,33218.22,124
22,SO44090,2023-03-01,2023-03-13,2023-08-03,417,4,294.64,6654.7,6360.06,127
23,SO50748,2024-11-28,2024-12-10,2024-05-12,3,4,1253.78,39339.54,38085.76,126
24,SO69501,2025-10-29,2025-11-10,2025-05-11,345,4,903.72,35812.37,34908.65,124
25,SO47056,2024-01-29,2024-02-10,2024-05-02,403,4,1576.04,54130.45,52554.41,126
26,SO53621,2025-02-28,2025-03-12,2025-07-03,490,4,3661.72,107106.21,103444.49,127
27,SO48311,2024-05-30,2024-06-11,2024-06-06,239,4,2075.24,79074.69,76999.45,125
28,SO47032,2024-01-29,2024-02-10,2024-05-02,313,4,163.08,5273.23,5110.15,104
29,SO69411,2025-10-29,2025-11-10,2025-05-11,77,4,138.1,3793.26,3655.16,124
30,SO47002,2024-01-29,2024-02-10,2024-05-02,492,4,50.24,1256.66,1206.42,126
31,SO46942,2024-01-29,2024-02-10,2024-05-02,583,4,108.36,4364.27,4255.91,125
32,SO71890,2025-11-29,2025-12-11,2025-06-12,5,4,230.82,9003.91,8773.09,125
33,SO69528,2025-10-29,2025-11-10,2025-05-11,309,4,910.58,34629.3,33718.72,124
34,SO57137,2025-04-30,2025-05-12,2025-07-05,309,4,859.24,33951.63,33092.39,124
35,SO65168,2025-08-29,2025-09-10,2025-05-09,509,4,603.9,20857.78,20253.88,125
36,SO67274,2025-09-29,2025-10-11,2025-06-10,437,4,509.1,22313.36,21804.26,104
37,SO63271,2025-07-31,2025-08-12,2025-07-08,313,4,32.12,3115.72,3083.6,104
38,SO46988,2024-01-29,2024-02-10,2024-05-02,78,4,2178.82,80545.04,78366.22,126
39,SO49099,2024-07-31,2024-08-12,2024-07-08,328,4,1755.96,78580.12,76824.16,104
40,SO51121,2024-12-28,2025-01-09,2025-04-01,491,4,2593.14,79681.65,77088.51,125
41,SO47989,2024-04-30,2024-05-12,2024-07-05,77,4,253.34,7477.6,7224.26,125
42,SO47711,2024-03-30,2024-04-11,2024-06-04,94,4,1.14,51.05,49.91,127
43,SO55264,2025-03-30,2025-04-11,2025-06-04,491,4,2020.3,63986.8,61966.5,125
44,SO47435,2024-02-29,2024-03-12,2024-07-03,75,4,1437.66,47902.17,46464.51,104
45,SO45810,2023-09-29,2023-10-11,2023-06-10,166,4,1054.94,31457.4,30402.46,126
