ReturnKey,ReturnDate,OrderDate,SalesOrderNumber,CustomerKey,ProductKey,ReturnQuantity,UnitPrice,ReturnAmount
1,2023-01-10,2022-12-29,SO43665,146,348,2,2024.994,4049.988
2,2023-02-15,2023-01-29,SO43867,145,296,2,714.704,1429.409
3,2023-04-07,2023-03-31,SO44285,397,351,2,2024.994,4049.988
4,2023-05-21,2023-05-01,SO44540,469,212,2,20.187,40.373
5,2023-05-16,2023-05-01,SO44570,218,328,2,419.459,838.918
6,2023-06-12,2023-05-31,SO44792,20,349,2,2024.994,4049.988
7,2023-07-14,2023-07-01,SO45043,146,350,2,2024.994,4049.988
8,2023-08-17,2023-08-01,SO45344,218,317,2,874.794,1749.588
9,2023-09-16,2023-08-29,SO45521,272,344,2,2039.994,4079.988
10,2023-11-08,2023-10-29,SO46025,271,232,2,28.84,57.681
11,2023-11-07,2023-10-29,SO46042,1,264,2,183.938,367.876
12,2023-11-06,2023-10-29,SO46053,145,232,2,28.84,57.681
13,2023-11-12,2023-10-29,SO46060,73,345,2,2039.994,4079.988
14,2023-11-18,2023-10-29,SO46077,469,347,2,2039.994,4079.988
15,2023-11-16,2023-10-29,SO46100,433,314,2,2146.962,4293.924
16,2023-12-13,2023-11-29,SO46327,272,292,2,818.7,1637.4
17,2023-12-15,2023-11-29,SO46379,20,346,2,849.998,1699.995
18,2024-01-18,2023-12-29,SO46609,577,242,2,780.818,1561.636
19,2024-01-12,2023-12-29,SO46611,146,230,2,28.84,57.681
20,2024-02-10,2024-01-29,SO46957,236,352,2,1242.852,2485.704
21,2024-02-09,2024-01-29,SO46974,127,420,2,141.615,283.23
22,2024-02-19,2024-01-29,SO46976,2,356,2,1242.852,2485.704
23,2024-02-12,2024-01-29,SO47033,343,461,2,53.994,107.988
24,2024-02-10,2024-01-29,SO47066,218,368,2,1466.01,2932.02
25,2024-03-09,2024-02-29,SO47403,254,426,2,209.256,418.512
26,2024-03-15,2024-02-29,SO47443,20,420,2,141.615,283.23
27,2024-05-09,2024-04-30,SO48057,343,273,2,202.332,404.664
28,2024-06-18,2024-05-30,SO48383,542,297,2,736.146,1472.291
29,2024-08-20,2024-07-31,SO49053,236,224,2,5.187,10.373
30,2024-09-16,2024-08-28,SO49449,272,470,2,22.794,45.588
31,2024-09-14,2024-08-28,SO49464,254,462,2,14.129,28.258
32,2024-09-13,2024-08-28,SO49464,254,399,2,33.775,67.549
33,2024-11-07,2024-10-28,SO50297,343,407,2,65.602,131.204
34,2024-11-12,2024-10-28,SO50314,433,387,2,600.263,1200.525
35,2024-11-08,2024-10-28,SO50321,218,375,2,1308.938,2617.875
36,2024-12-10,2024-11-28,SO50758,235,233,2,28.84,57.681
37,2025-01-15,2024-12-28,SO51123,290,440,2,858.9,1717.8
38,2025-01-08,2024-12-28,SO51146,505,502,2,200.052,400.104
39,2025-03-17,2025-02-28,SO53518,254,598,2,323.994,647.988
40,2025-03-19,2025-02-28,SO53576,542,400,2,37.152,74.304
41,2025-03-13,2025-02-28,SO53613,109,353,2,1391.994,2783.988
42,2025-04-08,2025-03-30,SO55241,146,599,2,323.994,647.988
43,2025-04-07,2025-03-30,SO55291,505,506,2,200.052,400.104
44,2025-05-09,2025-04-30,SO57136,433,380,2,1466.01,2932.02
45,2025-06-14,2025-05-30,SO59021,542,588,2,461.694,923.388
46,2025-06-16,2025-05-30,SO59065,235,225,2,5.394,10.788
47,2025-07-07,2025-06-30,SO61195,290,488,2,32.394,64.788
48,2025-07-13,2025-06-30,SO61267,505,573,2,1430.442,2860.884
49,2025-08-20,2025-07-31,SO63133,605,562,2,1430.442,2860.884
50,2025-08-16,2025-07-31,SO63148,361,603,2,72.894,145.788
51,2025-08-12,2025-07-31,SO63156,199,572,2,445.41,890.82
52,2025-08-20,2025-07-31,SO63249,343,382,2,672.294,1344.588
53,2025-09-07,2025-08-29,SO65199,621,570,2,445.41,890.82
54,2025-09-10,2025-08-29,SO65263,542,591,2,338.994,677.988
55,2025-09-06,2025-08-29,SO65278,308,569,2,445.41,890.82
56,2025-10-09,2025-09-29,SO67266,146,591,2,338.994,677.988
57,2025-11-08,2025-10-29,SO69408,236,476,2,41.994,83.988
58,2025-11-16,2025-10-29,SO69525,343,287,2,202.332,404.664
59,2025-12-12,2025-11-29,SO71880,542,363,2,1376.994,2753.988
60,2024-02-16,2024-01-29,SO47036,596,354,2,1242.852,2485.704
61,2024-11-14,2024-10-28,SO50206,236,356,2,1242.852,2485.704
62,2024-04-20,2024-03-30,SO47666,146,358,2,1229.459,2458.918
63,2024-05-20,2024-04-30,SO47986,236,358,2,1229.459,2458.918
